Abilities,Against Bug,Against Dark,Against Dragon,Against Electric,Against Fairy,Against Fighting,Against Fire,Against Flying,Against Ghost,Against Grass,Against Ground,Against Ice,Against Normal,Against Poison,Against Psychic,Against Rock,Against Steel,Against Water,Alolan Form,Att,BMI,BST,Catch Rate,Def,Experience to level 100,Experience type,Final Evolution,Galarian Form,Generation,HP,Height,Legendary,Mean,Mega Evolution,Name,Number,Spa,Spd,Spe,Standard Deviation,Type 1,Type 2,Weight,_id
"['Adaptability', 'Anticipation', 'Run Away']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,55,72.2,325,45,50,1000000,Medium Fast,0.0,0.0,1.0,55,0.3,0.0,54.16666666666666,0.0,Eevee,133,45,65,55,6.066758241067098,Normal,,6.5,635f06c6d0384d8adc85cf61
"['Hydration', 'Water Absorb']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,65,29.0,525,45,60,1000000,Medium Fast,1.0,0.0,1.0,130,1.0,0.0,87.5,0.0,Vaporeon,134,110,95,65,26.25991876098121,Water,,29.0,635f06c6d0384d8adc85cf62
"['Quick Feet', 'Volt Absorb']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,65,38.3,525,45,60,1000000,Medium Fast,1.0,0.0,1.0,65,0.8,0.0,87.5,0.0,Jolteon,135,110,95,130,26.25991876098121,Electric,,24.5,635f06c6d0384d8adc85cf63
"['Flash Fire', 'Guts']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.0,130,30.9,525,45,60,1000000,Medium Fast,1.0,0.0,1.0,65,0.9,0.0,87.5,0.0,Flareon,136,95,110,65,26.25991876098121,Fire,,25.0,635f06c6d0384d8adc85cf64
"['Analytic', 'Download', 'Trace']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,60,57.0,395,45,70,1000000,Medium Fast,0.0,0.0,1.0,65,0.8,0.0,65.83333333333333,0.0,Porygon,137,85,75,40,13.969212178533509,Normal,,36.5,635f06c6d0384d8adc85cf65
"['Shell Armor', 'Swift Swim', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,40,46.9,355,45,100,1000000,Medium Fast,0.0,0.0,1.0,35,0.4,0.0,59.16666666666666,0.0,Omanyte,138,90,55,35,26.36548669926062,Rock,Water,7.5,635f06c6d0384d8adc85cf66
"['Shell Armor', 'Swift Swim', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,60,35.0,495,45,125,1000000,Medium Fast,1.0,0.0,1.0,70,1.0,0.0,82.5,0.0,Omastar,139,115,70,55,27.195281453467864,Rock,Water,35.0,635f06c6d0384d8adc85cf67
"['Battle Armor', 'Swift Swim', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,80,46.0,355,45,90,1000000,Medium Fast,0.0,0.0,1.0,30,0.5,0.0,59.16666666666666,0.0,Kabuto,140,55,45,55,20.29299276980987,Rock,Water,11.5,635f06c6d0384d8adc85cf68
"['Battle Armor', 'Swift Swim', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,115,24.0,495,45,105,1000000,Medium Fast,1.0,0.0,1.0,60,1.3,0.0,82.5,0.0,Kabutops,141,65,70,80,20.56493779875511,Rock,Water,40.5,635f06c6d0384d8adc85cf69
"['Pressure', 'Rock Head', 'Unnerve']",0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,0.0,105,18.2,515,45,65,1250000,Slow,1.0,0.0,1.0,80,1.8,0.0,85.83333333333333,0.0,Aerodactyl,142,60,75,130,24.395468613840745,Rock,Flying,59.0,635f06c6d0384d8adc85cf6a
"['Tough Claws']",0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,0.0,135,17.9,615,45,85,1250000,Slow,1.0,0.0,6.0,80,2.1,0.0,102.5,1.0,Mega Aerodactyl,142,70,95,150,29.5451631687264,Rock,Flying,79.0,635f06c6d0384d8adc85cf6b
"['Gluttony', 'Immunity', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,110,104.3,540,25,65,1250000,Slow,1.0,0.0,1.0,160,2.1,0.0,90.0,0.0,Snorlax,143,65,110,30,41.93248541803041,Normal,,460.0,635f06c6d0384d8adc85cf6c
"['Pressure', 'Snow Cloak']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,85,19.2,580,3,100,1250000,Slow,1.0,0.0,1.0,90,1.7,1.0,96.66666666666669,0.0,Articuno,144,95,125,85,13.743685418725534,Ice,Flying,55.4,635f06c6d0384d8adc85cf6d
"['Competitive']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.0,85,17.6,580,3,85,1250000,Slow,1.0,1.0,8.0,90,1.7,1.0,96.66666666666669,0.0,Galarian Articuno,144,125,100,95,13.743685418725534,Psychic,Flying,50.9,635f06c6d0384d8adc85cf6e
"['Pressure', 'Static']",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,90,20.5,580,3,85,1250000,Slow,1.0,0.0,1.0,90,1.6,1.0,96.66666666666669,0.0,Zapdos,145,125,90,100,13.437096247164249,Electric,Flying,52.6,635f06c6d0384d8adc85cf6f
"['Defiant']",0.25,0.5,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.5,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,125,22.7,580,3,90,1250000,Slow,1.0,1.0,8.0,90,1.6,1.0,96.66666666666669,0.0,Galarian Zapdos,145,85,90,100,13.437096247164249,Fighting,Flying,58.2,635f06c6d0384d8adc85cf70
"['Flame Body', 'Pressure']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,0.0,100,15.0,580,3,90,1250000,Slow,1.0,0.0,1.0,90,2.0,1.0,96.66666666666669,0.0,Moltres,146,125,85,90,13.437096247164249,Fire,Flying,60.0,635f06c6d0384d8adc85cf71
"['Berserk']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,85,16.5,580,3,90,1250000,Slow,1.0,1.0,8.0,90,2.0,1.0,96.66666666666669,0.0,Galarian Moltres,146,100,125,90,13.437096247164249,Dark,Flying,66.0,635f06c6d0384d8adc85cf72
"['Marvel Scale', 'Shed Skin']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,64,1.0,300,45,45,1250000,Slow,0.0,0.0,1.0,41,1.8,0.0,50.0,0.0,Dratini,147,50,50,50,7.094598884597588,Dragon,,3.3,635f06c6d0384d8adc85cf73
"['Marvel Scale', 'Shed Skin']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,84,1.0,420,45,65,1250000,Slow,0.0,0.0,1.0,61,4.0,0.0,70.0,0.0,Dragonair,148,70,70,70,7.094598884597588,Dragon,,16.5,635f06c6d0384d8adc85cf74
"['Inner Focus', 'Multiscale']",0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,0.0,134,43.4,600,45,95,1250000,Slow,1.0,0.0,1.0,91,2.2,0.0,100.0,0.0,Dragonite,149,100,100,80,16.64331697709324,Dragon,Flying,210.0,635f06c6d0384d8adc85cf75
"['Pressure', 'Unnerve']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,110,30.5,680,3,90,1250000,Slow,1.0,0.0,1.0,106,2.0,1.0,113.33333333333331,0.0,Mewtwo,150,154,90,130,22.6764684689266,Psychic,,122.0,635f06c6d0384d8adc85cf76
"['Insomnia']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,150,14.7,780,3,70,1250000,Slow,1.0,0.0,6.0,106,1.5,1.0,130.0,1.0,Mega Mewtwo Y,150,194,120,140,38.453435043785966,Psychic,,33.0,635f06c6d0384d8adc85cf77
"['Steadfast']",1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,190,24.0,780,3,100,1250000,Slow,1.0,0.0,6.0,106,2.3,1.0,130.0,1.0,Mega Mewtwo X,150,154,100,130,33.04542328371661,Psychic,Fighting,127.0,635f06c6d0384d8adc85cf78
"['Synchronize']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,100,25.0,600,45,100,1059860,Medium Slow,1.0,0.0,1.0,100,0.4,1.0,100.0,0.0,Mew,151,100,100,100,0.0,Psychic,,4.0,635f06c6d0384d8adc85cf79
"['Leaf Guard', 'Overgrow']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.0,49,7.9,318,45,65,1059860,Medium Slow,0.0,0.0,2.0,45,0.9,0.0,53.0,0.0,Chikorita,152,49,65,45,8.640987597877146,Grass,,6.4,635f06c6d0384d8adc85cf7a
"['Leaf Guard', 'Overgrow']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.0,62,11.0,405,45,80,1059860,Medium Slow,0.0,0.0,2.0,60,1.2,0.0,67.5,0.0,Bayleef,153,63,80,60,8.902246907382429,Grass,,15.8,635f06c6d0384d8adc85cf7b
"['Leaf Guard', 'Overgrow']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.0,82,31.0,525,45,100,1059860,Medium Slow,1.0,0.0,2.0,80,1.8,0.0,87.5,0.0,Meganium,154,83,100,80,8.902246907382429,Grass,,100.5,635f06c6d0384d8adc85cf7c
"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.0,52,31.6,309,45,43,1059860,Medium Slow,0.0,0.0,2.0,39,0.5,0.0,51.5,0.0,Cyndaquil,155,60,50,65,8.995369179009089,Fire,,7.9,635f06c6d0384d8adc85cf7d
"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.0,64,23.5,405,45,58,1059860,Medium Slow,0.0,0.0,2.0,58,0.9,0.0,67.5,0.0,Quilava,156,80,65,80,9.233092656309694,Fire,,19.0,635f06c6d0384d8adc85cf7e
"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.0,84,27.5,534,45,78,1059860,Medium Slow,1.0,0.0,2.0,78,1.7,0.0,89.0,0.0,Typhlosion,157,109,85,100,11.575836902790224,Fire,,79.5,635f06c6d0384d8adc85cf7f
"['Sheer Force', 'Torrent']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,65,26.4,314,45,64,1059860,Medium Slow,0.0,0.0,2.0,50,0.6,0.0,52.333333333333336,0.0,Totodile,158,44,48,43,8.919392106839767,Water,,9.5,635f06c6d0384d8adc85cf80
"['Sheer Force', 'Torrent']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,80,20.7,405,45,80,1059860,Medium Slow,0.0,0.0,2.0,65,1.1,0.0,67.5,0.0,Croconaw,159,59,63,58,9.142392101268316,Water,,25.0,635f06c6d0384d8adc85cf81
"['Sheer Force', 'Torrent']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,105,16.8,530,45,100,1059860,Medium Slow,1.0,0.0,2.0,85,2.3,0.0,88.33333333333333,0.0,Feraligatr,160,79,83,78,10.386957633921922,Water,,88.8,635f06c6d0384d8adc85cf82
"['Frisk', 'Keen Eye', 'Run Away']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46,9.4,215,255,34,1000000,Medium Fast,0.0,0.0,2.0,35,0.8,0.0,35.833333333333336,0.0,Sentret,161,35,45,20,8.591015979239915,Normal,,6.0,635f06c6d0384d8adc85cf83
"['Frisk', 'Keen Eye', 'Run Away']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,76,10.0,415,90,64,1000000,Medium Fast,1.0,0.0,2.0,85,1.8,0.0,69.16666666666667,0.0,Furret,162,45,55,90,16.035550782211658,Normal,,32.5,635f06c6d0384d8adc85cf84
"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,30,43.3,262,255,30,1000000,Medium Fast,0.0,0.0,2.0,60,0.7,0.0,43.66666666666666,0.0,Hoothoot,163,36,56,50,12.188336865854811,Normal,Flying,21.2,635f06c6d0384d8adc85cf85
"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,50,15.9,452,90,50,1000000,Medium Fast,1.0,0.0,2.0,100,1.6,0.0,75.33333333333333,0.0,Noctowl,164,86,96,70,20.253943374617748,Normal,Flying,40.8,635f06c6d0384d8adc85cf86
"['Early Bird', 'Rattled', 'Swarm']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,20,10.8,265,255,30,800000,Fast,0.0,0.0,2.0,40,1.0,0.0,44.16666666666666,0.0,Ledyba,165,40,80,55,19.238993967692,Bug,Flying,10.8,635f06c6d0384d8adc85cf87
"['Early Bird', 'Iron Fist', 'Swarm']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,35,18.2,390,90,50,800000,Fast,1.0,0.0,2.0,55,1.4,0.0,65.0,0.0,Ledian,166,55,110,85,25.0,Bug,Flying,35.6,635f06c6d0384d8adc85cf88
"['Insomnia', 'Sniper', 'Swarm']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,60,34.0,250,255,40,800000,Fast,0.0,0.0,2.0,40,0.5,0.0,41.66666666666666,0.0,Spinarak,167,40,40,30,8.975274678557506,Bug,Poison,8.5,635f06c6d0384d8adc85cf89
"['Insomnia', 'Sniper', 'Swarm']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,90,27.7,400,90,70,800000,Fast,1.0,0.0,2.0,70,1.1,0.0,66.66666666666667,0.0,Ariados,168,60,70,40,14.907119849998598,Bug,Poison,33.5,635f06c6d0384d8adc85cf8a
"['Infiltrator', 'Inner Focus']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,90,23.1,535,90,80,1000000,Medium Fast,1.0,0.0,2.0,85,1.8,0.0,89.16666666666667,0.0,Crobat,169,70,80,130,19.238993967692,Poison,Flying,75.0,635f06c6d0384d8adc85cf8b
"['Illuminate', 'Volt Absorb', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,0.0,38,48.0,330,190,38,1250000,Slow,0.0,0.0,2.0,75,0.5,0.0,55.0,0.0,Chinchou,170,56,56,67,13.686976778431871,Water,Electric,12.0,635f06c6d0384d8adc85cf8c
"['Illuminate', 'Volt Absorb', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,0.0,58,15.6,460,75,58,1250000,Slow,1.0,0.0,2.0,125,1.2,0.0,76.66666666666667,0.0,Lanturn,171,76,76,67,22.830291768223688,Water,Electric,22.5,635f06c6d0384d8adc85cf8d
"['Lightning Rod', 'Static']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,40,22.2,205,190,15,1000000,Medium Fast,0.0,0.0,2.0,20,0.3,0.0,34.166666666666664,0.0,Pichu,172,35,35,60,14.55354099714415,Electric,,2.0,635f06c6d0384d8adc85cf8e
"['Cute Charm', 'Friend Guard', 'Magic Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,25,33.3,218,150,28,800000,Fast,0.0,0.0,2.0,50,0.3,0.0,36.333333333333336,0.0,Cleffa,173,45,55,15,14.510532573119276,Fairy,,3.0,635f06c6d0384d8adc85cf8f
"['Competitive', 'Cute Charm', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,30,11.1,210,170,15,800000,Fast,0.0,0.0,2.0,90,0.3,0.0,35.0,0.0,Igglybuff,174,40,20,15,26.140645235596867,Normal,Fairy,1.0,635f06c6d0384d8adc85cf90
"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,20,16.7,245,190,65,800000,Fast,0.0,0.0,2.0,35,0.3,0.0,40.833333333333336,0.0,Togepi,175,40,65,20,18.57791400800663,Fairy,,1.5,635f06c6d0384d8adc85cf91
"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,40,8.9,405,75,85,800000,Fast,0.0,0.0,2.0,55,0.6,0.0,67.5,0.0,Togetic,176,80,105,40,24.28133714055577,Fairy,Flying,3.2,635f06c6d0384d8adc85cf92
"['Early Bird', 'Magic Bounce', 'Synchronize']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.0,50,50.0,320,190,45,1000000,Medium Fast,0.0,0.0,2.0,40,0.2,0.0,53.333333333333336,0.0,Natu,177,70,45,70,12.133516482134198,Psychic,Flying,2.0,635f06c6d0384d8adc85cf93
"['Early Bird', 'Magic Bounce', 'Synchronize']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.0,75,6.7,470,75,70,1000000,Medium Fast,1.0,0.0,2.0,65,1.5,0.0,78.33333333333333,0.0,Xatu,178,95,70,95,12.133516482134198,Psychic,Flying,15.0,635f06c6d0384d8adc85cf94
"['Plus', 'Static']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,40,21.7,280,235,40,1059860,Medium Slow,0.0,0.0,2.0,55,0.6,0.0,46.66666666666666,0.0,Mareep,179,65,45,35,10.274023338281628,Electric,,7.8,635f06c6d0384d8adc85cf95
"['Plus', 'Static']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,55,20.8,365,120,55,1059860,Medium Slow,0.0,0.0,2.0,70,0.8,0.0,60.833333333333336,0.0,Flaaffy,180,80,60,45,11.334558757279536,Electric,,13.3,635f06c6d0384d8adc85cf96
"['Plus', 'Static']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,75,31.4,510,45,85,1059860,Medium Slow,1.0,0.0,2.0,90,1.4,0.0,85.0,0.0,Ampharos,181,115,90,55,18.027756377319943,Electric,,61.5,635f06c6d0384d8adc85cf97
"['Mold Breaker']",1.0,1.0,2.0,0.25,2.0,1.0,0.5,0.5,1.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,95,31.4,610,45,105,1059860,Medium Slow,1.0,0.0,6.0,90,1.4,0.0,101.66666666666669,1.0,Mega Ampharos,181,165,110,45,35.31603350069515,Electric,Dragon,61.5,635f06c6d0384d8adc85cf98
"['Chlorophyll', 'Healer']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.0,80,36.3,490,45,95,1059860,Medium Slow,1.0,0.0,2.0,75,0.4,0.0,81.66666666666667,0.0,Bellossom,182,90,100,50,16.499158227686106,Grass,,5.8,635f06c6d0384d8adc85cf99
"['Huge Power', 'Sap Sipper', 'Thick Fat']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0.0,20,53.1,250,190,50,800000,Fast,0.0,0.0,2.0,70,0.4,0.0,41.66666666666666,0.0,Marill,183,20,50,40,17.716909687891082,Water,Fairy,8.5,635f06c6d0384d8adc85cf9a
"['Huge Power', 'Sap Sipper', 'Thick Fat']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0.0,50,44.5,420,75,80,800000,Fast,1.0,0.0,2.0,100,0.8,0.0,70.0,0.0,Azumarill,184,60,80,50,18.257418583505537,Water,Fairy,28.5,635f06c6d0384d8adc85cf9b
"['Rattled', 'Rock Head', 'Sturdy']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,0.0,100,26.4,410,65,115,1000000,Medium Fast,1.0,0.0,2.0,70,1.2,0.0,68.33333333333333,0.0,Sudowoodo,185,30,65,30,31.97221015541813,Rock,,38.0,635f06c6d0384d8adc85cf9c
"['Damp', 'Drizzle', 'Water Absorb']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,75,28.0,500,45,75,1059860,Medium Slow,1.0,0.0,2.0,90,1.1,0.0,83.33333333333333,0.0,Politoed,186,90,100,70,10.671873729054749,Water,,33.9,635f06c6d0384d8adc85cf9d
"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,0.0,35,3.1,250,255,40,1059860,Medium Slow,0.0,0.0,2.0,35,0.4,0.0,41.66666666666666,0.0,Hoppip,187,35,55,50,7.993052538854533,Grass,Flying,0.5,635f06c6d0384d8adc85cf9e
"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,0.0,45,2.8,340,120,50,1059860,Medium Slow,0.0,0.0,2.0,55,0.6,0.0,56.66666666666666,0.0,Skiploom,188,45,65,80,12.47219128924647,Grass,Flying,1.0,635f06c6d0384d8adc85cf9f
"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,0.0,55,4.7,460,45,70,1059860,Medium Slow,1.0,0.0,2.0,75,0.8,0.0,76.66666666666667,0.0,Jumpluff,189,55,95,110,20.13840995599095,Grass,Flying,3.0,635f06c6d0384d8adc85cfa0
"['Pickup', 'Run Away', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,70,18.0,360,45,55,800000,Fast,0.0,0.0,2.0,55,0.8,0.0,60.0,0.0,Aipom,190,40,55,85,14.142135623730953,Normal,,11.5,635f06c6d0384d8adc85cfa1
"['Chlorophyll', 'Early Bird', 'Solar Power']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.0,30,20.0,180,235,30,1059860,Medium Slow,0.0,0.0,2.0,30,0.3,0.0,30.0,0.0,Sunkern,191,30,30,30,0.0,Grass,,1.8,635f06c6d0384d8adc85cfa2
"['Chlorophyll', 'Early Bird', 'Solar Power']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.0,75,13.3,425,120,55,1059860,Medium Slow,1.0,0.0,2.0,75,0.8,0.0,70.83333333333333,0.0,Sunflora,192,105,85,30,23.52599035582184,Grass,,8.5,635f06c6d0384d8adc85cfa3
"['Frisk', 'Speed Boost']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,65,26.4,390,75,45,1000000,Medium Fast,0.0,0.0,2.0,65,1.2,0.0,65.0,0.0,Yanma,193,75,45,95,17.320508075688775,Bug,Flying,38.0,635f06c6d0384d8adc85cfa4
